,open,high,low,close,volume
2018-09-05,29.41,29.94,26.84,28.51,257349007.0
2018-09-06,28.12,28.58,27.19,27.84,143942935.0
2018-09-07,26.96,28.27,26.8,27.38,123348744.0
2018-09-10,28.15,29.93,27.84,29.89,162253798.0
2018-09-11,30.02,30.59,29.37,30.1,159902483.0
2018-09-12,29.91,32.29,29.45,32.21,197889598.0
2018-09-13,33.16,34.14,29.87,30.48,304147108.0
2018-09-14,31.43,33.09,30.54,32.72,217762820.0
2018-09-17,31.75,33.23,31.6,32.43,180410560.0
2018-09-18,32.99,33.37,31.2,31.93,176673169.0
2018-09-19,31.52,31.83,30.51,31.21,124287022.0
2018-09-20,32.1,32.2,30.64,31.18,123116549.0
2018-09-21,31.19,32.42,30.91,31.02,129792949.0
2018-09-24,31.13,32.65,30.91,32.61,118332614.0
2018-09-25,33.18,33.6,32.19,32.57,118570163.0
2018-09-26,32.4,32.6,31.72,32.19,79347320.0
2018-09-27,31.86,32.63,31.39,32.59,87934428.0
2018-09-28,32.24,32.78,29.98,30.89,165453485.0
2018-10-01,30.69,31.91,30.25,31.42,94742859.0
2018-10-02,30.73,30.82,28.65,29.02,145276455.0
2018-10-03,29.04,29.22,26.54,28.43,190137198.0
2018-10-04,27.99,28.83,27.37,27.78,95831156.0
2018-10-05,28.07,28.47,26.93,27.35,88008487.0
2018-10-08,26.73,27.54,25.96,26.46,103789499.0
2018-10-09,26.15,27.71,26.0,27.24,105461756.0
2018-10-10,27.38,27.4,24.91,25.0,147682923.0
2018-10-11,24.74,26.2,24.55,25.3,147013774.0
2018-10-12,26.77,26.97,25.67,26.34,111059406.0
2018-10-15,26.38,26.77,25.75,26.26,70523486.0
2018-10-16,26.63,28.23,26.17,28.18,92528973.0
2018-10-17,28.41,28.53,26.92,27.3,89466946.0
2018-10-18,27.08,27.75,26.4,26.62,79623723.0
2018-10-19,27.03,27.1,23.6,23.66,130799866.0
2018-10-22,24.46,25.64,24.09,25.03,114158919.0
2018-10-23,24.18,25.26,23.85,25.09,101763018.0
2018-10-24,25.04,25.1,22.75,22.79,134489106.0
2018-10-25,17.92,20.15,17.72,19.27,189173672.0
2018-10-26,18.49,18.78,17.05,17.63,119688961.0
2018-10-29,18.21,18.23,16.27,16.85,94479590.0
2018-10-30,16.38,17.24,16.17,17.2,99049408.0
2018-10-31,17.87,18.34,17.12,18.21,110463663.0
2018-11-01,18.41,20.33,18.08,20.22,136896463.0
2018-11-02,20.59,21.06,19.47,20.23,123787953.0
2018-11-05,20.12,20.18,18.88,19.9,108016703.0
2018-11-06,19.5,21.65,19.48,20.68,144995728.0
2018-11-07,21.42,22.22,21.07,21.84,121115776.0
2018-11-08,21.77,22.08,20.97,21.2,92387565.0
2018-11-09,20.77,21.19,20.11,21.03,85900699.0
2018-11-12,20.68,20.85,18.8,19.03,95948176.0
2018-11-13,19.28,20.02,18.97,19.61,76125994.0
2018-11-14,20.18,21.11,19.76,20.81,106344252.0
2018-11-15,20.72,21.77,20.42,21.49,97715488.0
2018-11-16,19.87,20.97,19.72,20.66,112376589.0
2018-11-19,20.4,20.59,19.09,19.11,93578236.0
2018-11-20,17.4,19.58,17.18,19.21,109869425.0
2018-11-21,20.05,20.31,18.5,18.73,81585649.0
2018-11-23,18.61,19.83,18.56,19.38,54611295.0
2018-11-26,19.96,20.19,19.11,20.08,83210988.0
2018-11-27,19.77,21.45,19.73,21.05,119230147.0
2018-11-28,21.82,21.88,20.18,21.34,134425292.0
2018-11-29,21.19,21.61,20.73,21.43,79853746.0
2018-11-30,21.3,21.36,20.52,21.3,82370737.0
2018-12-03,22.48,23.75,22.37,23.71,139605406.0
2018-12-04,23.35,23.42,21.07,21.12,127392924.0
2018-12-06,20.22,21.41,20.06,21.3,103434674.0
2018-12-07,21.3,21.38,19.17,19.46,105764534.0
2018-12-10,19.35,20.13,19.27,19.99,77984520.0
2018-12-11,20.71,21.14,19.69,19.98,88027392.0
2018-12-12,20.32,21.02,19.71,20.48,100340657.0
2018-12-13,20.63,20.87,19.76,19.86,88108070.0
2018-12-14,19.58,20.7,19.52,19.9,84713551.0
2018-12-17,20.01,20.02,18.64,18.83,115437927.0
2018-12-18,19.15,19.84,18.88,19.5,101512938.0
2018-12-19,19.44,19.72,18.0,18.16,120644490.0
2018-12-20,18.11,18.86,17.34,17.94,119394487.0
2018-12-21,18.12,18.34,16.76,16.93,132245996.0
2018-12-24,16.52,17.22,16.37,16.65,62933126.0
2018-12-26,16.88,17.91,16.03,17.9,108811809.0
2018-12-27,17.43,17.74,16.44,17.49,111373008.0
2018-12-28,17.53,18.31,17.135,17.82,109214352.0
2018-12-31,18.15,18.5101,17.85,18.46,84732181.0
2019-01-02,18.01,19.0,17.98,18.83,87148693.0
2019-01-03,18.42,18.68,16.94,17.05,117277563.0
2019-01-04,17.55,19.07,17.43,19.0,111878582.0
2019-01-07,19.44,20.68,19.0,20.57,107157014.0
2019-01-08,21.19,21.2,19.68,20.75,121270986.0
2019-01-09,20.89,21.44,20.07,20.19,163944073.0
2019-01-10,19.76,19.83,18.9,19.74,115629372.0
2019-01-11,19.47,20.35,19.19,20.27,85110766.0
2019-01-14,19.96,20.62,19.75,20.23,71350248.0
2019-01-15,20.44,20.68,20.26,20.38,62785800.0
2019-01-16,20.4,20.54,19.71,19.73,70849266.0
2019-01-17,19.49,20.51,19.02,20.25,85018421.0
2019-01-18,20.37,21.05,20.02,20.77,88130950.0
2019-01-22,20.48,20.92,19.7,19.76,78513667.0
2019-01-23,20.03,20.48,19.55,19.8,77811255.0
2019-01-24,20.06,21.01,20.04,20.85,97433423.0
2019-01-25,20.99,22.03,20.79,21.93,110555157.0
2019-01-28,20.32,21.01,20.02,20.18,135164064.0
2019-01-29,20.26,20.39,19.05,19.25,131202535.0
2019-01-30,21.49,23.13,21.37,23.09,211421150.0
2019-01-31,23.02,25.14,22.83,24.41,182575629.0
2019-02-01,24.61,24.84,24.07,24.51,105356175.0
2019-02-04,24.43,24.66,24.07,24.13,70843958.0
2019-02-05,23.42,23.86,22.98,23.31,122226034.0
2019-02-06,23.63,24.14,23.22,23.26,78684325.0
2019-02-07,22.99,23.22,22.32,22.67,86723886.0
2019-02-08,22.33,23.28,22.27,23.05,78129280.0
2019-02-11,23.05,23.28,22.66,22.96,60578705.0
2019-02-12,23.43,23.56,22.75,22.82,67595405.0
2019-02-13,22.98,23.24,22.71,22.85,57544167.0
2019-02-14,22.74,23.37,22.59,23.13,64441243.0
2019-02-15,23.58,24.05,23.2,23.68,78644109.0
2019-02-19,23.63,24.41,23.61,23.95,57517907.0
2019-02-20,24.14,24.37,23.9,23.95,57091617.0
2019-02-21,24.04,24.33,23.85,23.92,49608176.0
2019-02-22,24.05,24.36,23.88,24.36,52650728.0
2019-02-25,25.01,25.52,24.68,24.71,63221028.0
2019-02-26,24.65,24.72,24.15,24.21,48470089.0
2019-02-27,24.11,24.23,23.21,23.48,62649329.0
2019-02-28,23.21,23.67,23.11,23.53,39384901.0
2019-03-01,23.97,24.19,23.45,23.68,48083975.0
2019-03-04,23.89,24.13,23.01,23.37,48147714.0
2019-03-05,23.34,23.68,23.01,23.5,35462587.0
2019-03-06,23.47,23.53,22.4,22.41,60479430.0
2019-03-07,22.33,22.41,21.73,22.08,52186289.0
2019-03-08,21.35,22.09,21.04,22.01,49967725.0
2019-03-11,22.15,23.08,21.98,22.96,54420188.0
2019-03-12,23.1,23.8,22.78,23.49,56410616.0
2019-03-13,23.66,24.15,23.35,23.38,56705777.0
2019-03-14,23.37,23.49,22.8,22.82,42818582.0
2019-03-15,23.1,23.65,23.01,23.29,46519912.0
2019-03-18,23.3,23.62,23.04,23.25,34731839.0
2019-03-19,23.6,26.08,23.59,26.0,156052222.0
2019-03-20,26.49,26.88,25.31,25.7,151292138.0
2019-03-21,25.78,28.11,25.71,27.89,129610272.0
2019-03-22,27.54,27.75,26.33,26.37,115323257.0
2019-03-25,26.29,26.99,25.54,25.97,78438159.0
2019-03-26,26.69,26.98,25.46,25.69,75754079.0
2019-03-27,25.7,25.88,24.55,24.89,88585265.0
2019-03-28,25.1,25.56,24.65,25.06,64667453.0
2019-03-29,25.58,25.73,25.25,25.52,53502807.0
2019-04-01,26.42,26.56,25.83,26.36,63000322.0
2019-04-02,26.51,26.8,26.09,26.75,53358772.0
2019-04-03,28.02,29.95,27.88,29.02,197650478.0
2019-04-04,28.88,29.39,28.61,29.09,82191092.0
2019-04-05,29.64,29.69,28.8,28.98,65662738.0
2019-04-08,28.69,28.95,28.18,28.53,58002493.0
2019-04-09,28.24,28.38,27.19,27.24,75539793.0
2019-04-10,27.46,28.12,27.32,27.83,64368144.0
2019-04-11,27.81,28.05,27.46,27.79,44801179.0
2019-04-12,28.21,28.38,27.66,27.85,41048838.0
2019-04-15,27.8,27.84,26.96,27.33,40812497.0
2019-04-16,27.72,28.18,27.49,27.93,47340055.0
2019-04-17,28.21,28.27,27.22,27.49,48240768.0
2019-04-18,27.6,27.88,27.34,27.68,39880890.0
2019-04-22,27.62,28.23,27.39,28.18,36477286.0
2019-04-23,28.18,28.49,27.79,27.97,41777470.0
2019-04-24,28.1,28.85,27.93,28.46,51784738.0
2019-04-25,28.67,28.86,27.36,27.66,57329711.0
2019-04-26,27.66,27.9,27.05,27.88,48827903.0
2019-04-29,27.9,28.14,27.5,27.69,44532725.0
2019-04-30,27.59,27.8,26.94,27.63,73165869.0
2019-05-01,28.95,29.15,26.78,26.81,136066941.0
2019-05-02,26.94,28.64,26.61,28.29,100514792.0
2019-05-03,28.3,28.42,27.66,28.22,55503062.0
2019-05-06,26.72,27.5,26.45,27.42,70344092.0
2019-05-07,27.2,27.35,26.21,26.66,75868821.0
2019-05-08,26.41,27.71,26.27,27.09,65967544.0
2019-05-09,26.7,27.38,26.03,27.21,73150883.0
2019-05-10,27.03,28.1,26.93,27.96,82930144.0
2019-05-13,26.98,27.23,26.1,26.24,99017893.0
2019-05-14,26.53,27.48,26.15,27.32,82980397.0
2019-05-15,26.87,27.79,26.73,27.58,55689874.0
2019-05-16,27.37,28.37,27.27,28.01,67330064.0
2019-05-17,27.69,28.46,27.4,27.5,65385351.0
2019-05-20,26.98,27.24,26.49,26.68,69757402.0
2019-05-21,27.18,27.37,26.93,27.35,46079177.0
2019-05-22,27.12,27.59,27.07,27.41,40035288.0
2019-05-23,26.99,27.1,26.03,26.36,67809153.0
2019-05-24,26.61,26.93,26.4,26.44,39835788.0
2019-05-28,27.27,29.67,27.06,29.05,146949629.0
2019-05-29,29.0,29.32,27.73,28.09,99969597.0
2019-05-30,28.4,28.56,27.6,28.03,65289093.0
2019-05-31,27.57,28.36,27.4,27.41,68667809.0
2019-06-03,28.75,29.62,27.29,27.58,147532180.0
2019-06-04,28.39,29.59,27.91,29.57,107549523.0
2019-06-05,29.93,29.99,29.03,29.5,79481540.0
2019-06-06,29.87,31.98,29.84,31.82,131267796.0
2019-06-07,31.94,32.6,31.57,32.41,86841098.0
2019-06-10,33.53,34.3,33.08,33.23,97668791.0
2019-06-11,33.43,33.49,31.82,32.41,82834914.0
2019-06-12,32.0,32.57,31.92,32.18,56298671.0
2019-06-13,32.39,32.5,31.06,31.39,63555986.0
2019-06-14,30.7,30.96,30.02,30.36,70373015.0
2019-06-17,30.25,30.45,29.18,29.2,70865743.0
2019-06-18,29.76,30.97,29.58,30.45,86444542.0
2019-06-19,30.665,30.79,30.06,30.5,63233939.0
2019-06-20,31.24,31.36,29.84,30.01,72418162.0
2019-06-21,29.65,30.35,28.97,29.1,81861322.0
2019-06-24,29.32,29.4,28.67,29.26,55724826.0
2019-06-25,29.26,29.72,28.8,28.86,53680887.0
2019-06-26,29.98,30.48,29.78,29.92,65064199.0
2019-06-27,30.41,30.96,30.21,30.74,55623309.0
2019-06-28,31.08,31.11,30.33,30.37,50090925.0
2019-07-01,31.79,32.04,30.87,31.2,60525532.0
2019-07-02,30.96,31.26,30.73,31.24,37721679.0
2019-07-03,31.13,31.33,30.74,31.19,23462004.0
2019-07-05,30.88,31.56,30.75,31.5,34011867.0
2019-07-08,31.8,32.15,31.26,32.04,49689399.0
2019-07-09,31.76,33.18,30.1,33.15,61419773.0
2019-07-10,33.56,34.03,33.36,33.79,60388439.0
2019-07-11,33.91,34.0,32.76,33.06,63081800.0
2019-07-12,32.76,33.39,32.59,33.21,51509682.0
2019-07-15,33.34,34.55,33.27,34.39,65565248.0
2019-07-16,34.3,34.86,33.8,33.85,66912699.0
2019-07-17,34.01,34.3,33.49,33.6,42557903.0
2019-07-18,33.03,33.46,32.42,33.0,58610857.0
2019-07-19,33.08,33.35,32.45,32.51,44617702.0
2019-07-22,32.8,33.31,32.74,32.85,37777312.0
2019-07-23,33.17,33.5,32.93,33.49,38532460.0
2019-07-24,33.64,34.36,33.45,34.11,41952256.0
2019-07-25,34.05,34.25,33.62,33.67,36705616.0
2019-07-26,34.23,34.77,33.87,34.02,43502776.0
2019-07-29,34.14,34.18,32.98,33.48,45921978.0
2019-07-30,33.21,33.94,32.94,33.87,72198880.0
2019-07-31,32.08,32.3,30.3,30.45,119190001.0
2019-08-01,30.5,31.48,29.1,29.86,80878890.0
2019-08-02,29.48,29.73,28.94,29.44,60410852.0
2019-08-05,28.26,28.49,27.65,27.99,74333240.0
2019-08-06,28.86,29.05,28.2,28.86,60578444.0
2019-08-07,28.47,29.28,28.37,29.19,58577543.0
2019-08-08,31.53,34.27,31.48,33.92,167278810.0
2019-08-09,33.45,35.55,33.08,34.19,132483947.0
2019-08-12,34.16,34.65,32.08,32.43,106936040.0
2019-08-13,32.36,33.14,31.72,32.11,102579321.0
2019-08-14,31.0,31.05,29.51,30.24,127521456.0
2019-08-15,30.63,30.73,29.21,29.67,72606817.0
2019-08-16,30.305,31.48,30.21,31.18,71588978.0
2019-08-19,32.0,32.19,31.42,31.48,67781613.0
2019-08-20,30.94,31.31,30.45,30.72,48016381.0
2019-08-21,31.05,31.74,30.84,31.7,41635046.0
2019-08-22,31.76,31.92,30.98,31.9,47742174.0
2019-08-23,31.3,31.83,29.4,29.54,83931683.0
2019-08-26,30.34,30.72,29.94,30.28,50858859.0
2019-08-27,30.6,30.89,29.6,30.2,53351711.0
2019-08-28,29.92,31.18,29.7,30.78,55780427.0
2019-08-29,31.47,31.83,31.33,31.45,44485479.0
2019-08-30,31.6,31.87,31.13,31.45,40347321.0
2019-09-03,30.83,31.14,30.68,30.9,38080254.0
2019-09-04,31.32,31.83,30.85,30.95,46709780.0
2019-09-05,31.79,32.05,31.12,31.5,57932080.0
2019-09-06,31.5,31.51,30.48,30.56,51672982.0
2019-09-09,30.93,31.18,30.24,30.5,54413163.0
2019-09-10,30.22,30.38,29.77,30.23,48604766.0
2019-09-11,30.38,30.43,29.51,29.76,50631683.0
2019-09-12,30.08,30.84,29.95,30.21,53618344.0
2019-09-13,30.27,30.85,29.95,30.69,47758753.0
2019-09-16,30.37,31.15,30.26,30.83,52248540.0
2019-09-17,31.07,31.32,30.74,30.99,35125750.0
2019-09-18,30.75,30.89,29.88,30.42,47277309.0
2019-09-19,30.57,30.96,30.14,30.29,41930831.0
2019-09-20,30.36,30.47,29.65,30.05,83555555.0
2019-09-23,30.12,30.8,30.07,30.64,45185837.0
2019-09-24,30.54,30.75,29.29,29.52,73220942.0
2019-09-25,29.48,29.65,28.55,29.54,58691579.0
2019-09-26,29.67,29.77,29.0,29.47,41182228.0
2019-09-27,29.17,29.77,28.35,28.72,54144672.0
2019-09-30,28.89,29.05,28.36,28.99,40332052.0
2019-10-01,29.05,29.54,28.64,28.76,37366072.0
2019-10-02,28.5,28.85,28.03,28.31,44048752.0
2019-10-03,28.28,28.78,27.43,28.68,56905408.0
2019-10-04,28.83,29.06,28.28,29.01,34609211.0
2019-10-07,28.9,29.63,28.84,28.93,39745268.0
2019-10-08,28.55,28.64,27.92,28.23,44432078.0
2019-10-09,28.8,28.95,28.35,28.46,36321583.0
2019-10-10,28.52,28.89,28.0,28.38,41171995.0
2019-10-11,28.83,30.2,28.81,29.75,66632445.0
2019-10-14,29.71,30.61,29.38,30.53,44818233.0
2019-10-15,30.7,30.92,30.17,30.72,42142385.0
2019-10-16,30.6,31.41,30.53,30.81,43064255.0
2019-10-17,31.3,31.4,30.86,31.14,37010205.0
2019-10-18,31.06,31.33,30.29,30.97,39221435.0
2019-10-21,31.5,32.26,31.41,32.03,52182779.0
2019-10-22,32.06,32.15,31.5,31.51,36860307.0
2019-10-23,31.09,31.65,30.83,31.36,26858110.0
2019-10-24,31.58,31.86,31.34,31.72,28448977.0
2019-10-25,31.9,32.86,31.83,32.71,45368837.0
2019-10-28,33.16,33.91,33.15,33.69,50694873.0
2019-10-29,33.73,33.9,32.7,33.03,78700076.0
2019-10-30,32.93,33.34,32.03,33.13,78228769.0
2019-10-31,32.98,34.34,32.82,33.93,67881623.0
2019-11-01,34.37,35.0,34.1,34.89,64238609.0
2019-11-04,35.19,36.45,34.76,36.29,83343783.0
2019-11-05,36.56,37.18,35.98,36.15,84848638.0
2019-11-06,36.06,36.48,35.52,35.93,51675119.0
2019-11-07,36.52,36.99,36.03,36.28,54350178.0
2019-11-08,36.06,36.58,36.0,36.29,39396230.0
2019-11-11,35.96,36.66,35.58,36.31,43572264.0
2019-11-12,36.43,37.13,36.4,36.71,58664523.0
2019-11-13,36.65,37.96,36.58,37.52,69178093.0
2019-11-14,37.51,38.5,37.36,38.35,65936947.0
2019-11-15,38.94,39.37,38.34,38.56,63020866.0
2019-11-18,38.65,39.99,38.6,39.88,66332767.0
2019-11-19,40.14,41.79,39.69,41.29,94600235.0
2019-11-20,40.96,41.75,40.07,40.98,79968318.0
2019-11-21,40.42,40.71,38.64,39.52,88069355.0
2019-11-22,39.36,39.89,38.19,39.15,56931883.0
2019-11-25,39.5,40.17,39.49,39.79,45879404.0
2019-11-26,39.3,39.48,38.81,38.99,43764146.0
2019-11-27,39.46,39.76,39.07,39.41,33733792.0
2019-11-29,39.1,39.52,39.02,39.15,17609932.0
2019-12-02,39.32,39.41,38.44,38.73,37942678.0
2019-12-03,37.34,38.93,37.15,38.9,52991201.0
2019-12-04,39.38,39.82,39.13,39.69,44372195.0
2019-12-05,39.95,40.22,39.55,39.62,35710943.0
2019-12-06,40.1,40.19,39.56,39.63,31150377.0
2019-12-09,39.46,39.84,38.91,38.93,28035391.0
2019-12-10,39.2,39.73,38.82,39.44,33863025.0
2019-12-11,39.44,39.61,39.04,39.47,31794689.0
2019-12-12,39.4,42.62,39.25,42.59,87398169.0
2019-12-13,42.35,42.95,41.06,41.15,79985411.0
2019-12-16,41.73,42.98,41.73,42.35,58890776.0
2019-12-17,42.51,43.11,42.15,42.77,44935574.0
2019-12-18,42.79,43.06,42.24,42.3,39182983.0
2019-12-19,42.63,43.34,42.6,42.83,45950709.0
2019-12-20,43.44,44.26,43.26,44.15,68216726.0
2019-12-23,44.58,45.63,44.39,45.46,56065288.0
2019-12-24,46.1,46.61,45.77,46.54,44432192.0
2019-12-26,46.99,47.31,45.66,46.63,57712693.0
2019-12-27,46.85,46.88,45.98,46.18,36624234.0
2019-12-30,46.14,46.17,44.66,45.52,41235735.0
2019-12-31,45.07,46.09,44.92,45.86,31791204.0
2020-01-02,46.86,49.25,46.63,49.1,80764599.0
2020-01-03,48.03,49.39,47.54,48.6,73362157.0
2020-01-06,48.02,48.86,47.86,48.39,48176286.0
2020-01-07,49.35,49.39,48.04,48.25,59935556.0
2020-01-08,47.85,48.3,47.14,47.83,53868957.0
2020-01-09,48.94,49.96,48.39,48.97,76649637.0
2020-01-10,49.26,49.29,48.0,48.17,44215594.0
2020-01-13,48.66,48.86,48.24,48.75,33743618.0
2020-01-14,48.64,49.04,47.91,48.21,38694180.0
2020-01-15,48.23,49.08,48.12,48.55,40199943.0
2020-01-16,49.17,50.31,48.99,49.77,58898926.0
2020-01-17,50.2,51.05,49.9,50.93,57722501.0
2020-01-21,50.96,51.81,50.7,51.05,48403014.0
2020-01-22,51.63,51.88,51.2,51.43,40772219.0
2020-01-23,51.34,51.75,50.74,51.71,40135442.0
2020-01-24,52.28,52.81,49.47,50.35,80004909.0
2020-01-27,48.45,49.79,47.9,49.26,48878578.0
2020-01-28,50.03,50.85,49.48,50.53,62343844.0
2020-01-29,47.84,48.07,46.1,47.51,112559197.0
2020-01-30,46.49,48.81,46.13,48.78,70460163.0
2020-01-31,48.4,48.58,46.79,47.0,60322431.0
2020-02-03,46.4,48.1,46.23,48.02,47076956.0
2020-02-04,49.21,49.75,48.61,49.45,46302078.0
2020-02-05,50.29,50.42,49.31,49.84,42737104.0
2020-02-06,48.8,49.39,47.63,49.32,48670617.0
2020-02-07,48.91,50.67,48.64,49.73,53107582.0
2020-02-10,49.47,52.3,49.35,52.26,60971719.0
2020-02-11,53.22,54.48,52.91,53.8,74719054.0
2020-02-12,54.53,54.85,53.53,53.89,45994933.0
2020-02-13,53.43,55.03,53.34,54.53,51640035.0
2020-02-14,55.19,55.4,54.56,55.31,52365370.0
2020-02-18,54.94,58.13,54.84,56.89,70346387.0
2020-02-19,57.99,59.27,57.51,58.9,58597294.0
2020-02-20,58.44,59.02,56.15,57.27,74203373.0
2020-02-21,56.71,56.8,52.89,53.28,88553374.0
2020-02-24,48.18,50.28,47.49,49.12,86624116.0
2020-02-25,51.14,51.24,47.12,47.57,88699382.0
2020-02-26,47.7,49.29,47.07,47.49,86897680.0
2020-02-27,45.38,46.24,42.21,44.01,106416222.0
2020-02-28,41.36,46.15,41.04,45.48,100667707.0
2020-03-02,47.42,47.68,44.66,47.46,102324726.0
2020-03-03,49.03,50.2,45.67,46.75,141972288.0
2020-03-04,48.25,50.14,47.21,50.11,93311779.0
2020-03-05,48.68,49.72,47.51,48.11,98302748.0
2020-03-06,49.44,49.54,46.74,48.59,124590861.0
2020-03-09,43.03,46.34,42.51,43.27,80859774.0
2020-03-10,45.41,45.44,43.1,45.38,76228247.0
2020-03-11,44.19,45.97,43.8,45.7,102319010.0
2020-03-12,42.0,42.5,39.0,39.01,107461521.0
2020-03-13,42.2,43.91,39.6,43.9,86689681.0
2020-03-16,39.08,43.37,38.51,38.71,84545868.0
2020-03-17,40.19,42.88,38.3,41.88,92741881.0
2020-03-18,39.54,41.95,36.75,39.12,106163124.0
2020-03-19,39.56,41.7,37.69,39.82,88939024.0
2020-03-20,41.51,42.48,39.58,39.61,106859502.0
2020-03-23,40.62,42.32,38.95,41.64,101704663.0
2020-03-24,44.04,46.81,43.99,46.22,106794151.0
2020-03-25,46.79,47.88,44.43,44.63,93760389.0
2020-03-26,45.78,47.5,45.4,47.5,73915608.0
2020-03-27,46.32,47.98,45.9,46.58,74599218.0
2020-03-30,47.24,48.46,46.66,47.86,68486602.0
2020-03-31,47.93,48.53,45.16,45.48,83483749.0
2020-04-01,44.18,46.85,43.16,43.66,92083081.0
2020-04-02,43.4,45.28,43.1,44.49,79024133.0
2020-04-03,44.3,44.84,41.7,42.59,79334966.0
2020-04-06,44.3,47.58,44.06,47.52,82293964.0
2020-04-07,48.96,49.65,46.68,47.56,102098689.0
2020-04-08,48.07,49.0,47.61,48.79,64930779.0
2020-04-09,49.65,50.25,47.72,48.38,80357393.0
2020-04-13,48.47,51.07,48.23,50.94,64290112.0
